# Nmap 7.95 scan initiated Thu Apr  9 11:21:44 2026 as: /usr/lib/nmap/nmap -sS -vv -oN result.txt 192.168.29.0/24
Nmap scan report for 192.168.29.0 [host down, received no-response]
Nmap scan report for 192.168.29.63 [host down, received no-response]
Nmap scan report for 192.168.29.64 [host down, received no-response]
Nmap scan report for 192.168.29.65 [host down, received no-response]
Nmap scan report for 192.168.29.66 [host down, received no-response]
Nmap scan report for 192.168.29.67 [host down, received no-response]
Nmap scan report for 192.168.29.68 [host down, received no-response]
Nmap scan report for 192.168.29.69 [host down, received no-response]
Nmap scan report for 192.168.29.70 [host down, received no-response]
Nmap scan report for 192.168.29.71 [host down, received no-response]
Nmap scan report for 192.168.29.72 [host down, received no-response]
Nmap scan report for 192.168.29.73 [host down, received no-response]
Nmap scan report for 192.168.29.74 [host down, received no-response]
Nmap scan report for 192.168.29.75 [host down, received no-response]
Nmap scan report for 192.168.29.76 [host down, received no-response]
Nmap scan report for 192.168.29.77 [host down, received no-response]
Nmap scan report for 192.168.29.78 [host down, received no-response]
Nmap scan report for 192.168.29.79 [host down, received no-response]
Nmap scan report for 192.168.29.80 [host down, received no-response]
Nmap scan report for 192.168.29.81 [host down, received no-response]
Nmap scan report for 192.168.29.82 [host down, received no-response]
Nmap scan report for 192.168.29.83 [host down, received no-response]
Nmap scan report for 192.168.29.84 [host down, received no-response]
Nmap scan report for 192.168.29.85 [host down, received no-response]
Nmap scan report for 192.168.29.86 [host down, received no-response]
Nmap scan report for 192.168.29.87 [host down, received no-response]
Nmap scan report for 192.168.29.88 [host down, received no-response]
Nmap scan report for 192.168.29.89 [host down, received no-response]
Nmap scan report for 192.168.29.90 [host down, received no-response]
Nmap scan report for 192.168.29.91 [host down, received no-response]
Nmap scan report for 192.168.29.92 [host down, received no-response]
Nmap scan report for 192.168.29.93 [host down, received no-response]
Nmap scan report for 192.168.29.94 [host down, received no-response]
Nmap scan report for 192.168.29.95 [host down, received no-response]
Nmap scan report for 192.168.29.96 [host down, received no-response]
Nmap scan report for 192.168.29.97 [host down, received no-response]
Nmap scan report for 192.168.29.98 [host down, received no-response]
Nmap scan report for 192.168.29.99 [host down, received no-response]
Nmap scan report for 192.168.29.100 [host down, received no-response]
Nmap scan report for 192.168.29.101 [host down, received no-response]
Nmap scan report for 192.168.29.102 [host down, received no-response]
Nmap scan report for 192.168.29.103 [host down, received no-response]
Nmap scan report for 192.168.29.104 [host down, received no-response]
Nmap scan report for 192.168.29.105 [host down, received no-response]
Nmap scan report for 192.168.29.106 [host down, received no-response]
Nmap scan report for 192.168.29.107 [host down, received no-response]
Nmap scan report for 192.168.29.108 [host down, received no-response]
Nmap scan report for 192.168.29.109 [host down, received no-response]
Nmap scan report for 192.168.29.110 [host down, received no-response]
Nmap scan report for 192.168.29.111 [host down, received no-response]
Nmap scan report for 192.168.29.112 [host down, received no-response]
Nmap scan report for 192.168.29.113 [host down, received no-response]
Nmap scan report for 192.168.29.114 [host down, received no-response]
Nmap scan report for 192.168.29.115 [host down, received no-response]
Nmap scan report for 192.168.29.116 [host down, received no-response]
Nmap scan report for 192.168.29.117 [host down, received no-response]
Nmap scan report for 192.168.29.118 [host down, received no-response]
Nmap scan report for 192.168.29.119 [host down, received no-response]
Nmap scan report for 192.168.29.120 [host down, received no-response]
Nmap scan report for 192.168.29.121 [host down, received no-response]
Nmap scan report for 192.168.29.122 [host down, received no-response]
Nmap scan report for 192.168.29.123 [host down, received no-response]
Nmap scan report for 192.168.29.124 [host down, received no-response]
Nmap scan report for 192.168.29.125 [host down, received no-response]
Nmap scan report for 192.168.29.126 [host down, received no-response]
Nmap scan report for 192.168.29.127 [host down, received no-response]
Nmap scan report for 192.168.29.128 [host down, received no-response]
Nmap scan report for 192.168.29.129 [host down, received no-response]
Nmap scan report for 192.168.29.130 [host down, received no-response]
Nmap scan report for 192.168.29.131 [host down, received no-response]
Nmap scan report for 192.168.29.132 [host down, received no-response]
Nmap scan report for 192.168.29.133 [host down, received no-response]
Nmap scan report for 192.168.29.134 [host down, received no-response]
Nmap scan report for 192.168.29.135 [host down, received no-response]
Nmap scan report for 192.168.29.136 [host down, received no-response]
Nmap scan report for 192.168.29.137 [host down, received no-response]
Nmap scan report for 192.168.29.138 [host down, received no-response]
Nmap scan report for 192.168.29.139 [host down, received no-response]
Nmap scan report for 192.168.29.140 [host down, received no-response]
Nmap scan report for 192.168.29.141 [host down, received no-response]
Nmap scan report for 192.168.29.142 [host down, received no-response]
Nmap scan report for 192.168.29.143 [host down, received no-response]
Nmap scan report for 192.168.29.144 [host down, received no-response]
Nmap scan report for 192.168.29.145 [host down, received no-response]
Nmap scan report for 192.168.29.146 [host down, received no-response]
Nmap scan report for 192.168.29.147 [host down, received no-response]
Nmap scan report for 192.168.29.148 [host down, received no-response]
Nmap scan report for 192.168.29.149 [host down, received no-response]
Nmap scan report for 192.168.29.150 [host down, received no-response]
Nmap scan report for 192.168.29.151 [host down, received no-response]
Nmap scan report for 192.168.29.152 [host down, received no-response]
Nmap scan report for 192.168.29.153 [host down, received no-response]
Nmap scan report for 192.168.29.154 [host down, received no-response]
Nmap scan report for 192.168.29.155 [host down, received no-response]
Nmap scan report for 192.168.29.156 [host down, received no-response]
Nmap scan report for 192.168.29.157 [host down, received no-response]
Nmap scan report for 192.168.29.158 [host down, received no-response]
Nmap scan report for 192.168.29.159 [host down, received no-response]
Nmap scan report for 192.168.29.160 [host down, received no-response]
Nmap scan report for 192.168.29.161 [host down, received no-response]
Nmap scan report for 192.168.29.162 [host down, received no-response]
Nmap scan report for 192.168.29.163 [host down, received no-response]
Nmap scan report for 192.168.29.164 [host down, received no-response]
Nmap scan report for 192.168.29.165 [host down, received no-response]
Nmap scan report for 192.168.29.166 [host down, received no-response]
Nmap scan report for 192.168.29.167 [host down, received no-response]
Nmap scan report for 192.168.29.168 [host down, received no-response]
Nmap scan report for 192.168.29.169 [host down, received no-response]
Nmap scan report for 192.168.29.170 [host down, received no-response]
Nmap scan report for 192.168.29.171 [host down, received no-response]
Nmap scan report for 192.168.29.172 [host down, received no-response]
Nmap scan report for 192.168.29.173 [host down, received no-response]
Nmap scan report for 192.168.29.174 [host down, received no-response]
Nmap scan report for 192.168.29.175 [host down, received no-response]
Nmap scan report for 192.168.29.176 [host down, received no-response]
Nmap scan report for 192.168.29.177 [host down, received no-response]
Nmap scan report for 192.168.29.178 [host down, received no-response]
Nmap scan report for 192.168.29.179 [host down, received no-response]
Nmap scan report for 192.168.29.180 [host down, received no-response]
Nmap scan report for 192.168.29.181 [host down, received no-response]
Nmap scan report for 192.168.29.182 [host down, received no-response]
Nmap scan report for 192.168.29.183 [host down, received no-response]
Nmap scan report for 192.168.29.184 [host down, received no-response]
Nmap scan report for 192.168.29.185 [host down, received no-response]
Nmap scan report for 192.168.29.186 [host down, received no-response]
Nmap scan report for 192.168.29.187 [host down, received no-response]
Nmap scan report for 192.168.29.188 [host down, received no-response]
Nmap scan report for 192.168.29.190 [host down, received no-response]
Nmap scan report for 192.168.29.192 [host down, received no-response]
Nmap scan report for 192.168.29.193 [host down, received no-response]
Nmap scan report for 192.168.29.194 [host down, received no-response]
Nmap scan report for 192.168.29.195 [host down, received no-response]
Nmap scan report for 192.168.29.196 [host down, received no-response]
Nmap scan report for 192.168.29.197 [host down, received no-response]
Nmap scan report for 192.168.29.198 [host down, received no-response]
Nmap scan report for 192.168.29.199 [host down, received no-response]
Nmap scan report for 192.168.29.200 [host down, received no-response]
Nmap scan report for 192.168.29.201 [host down, received no-response]
Nmap scan report for 192.168.29.202 [host down, received no-response]
Nmap scan report for 192.168.29.203 [host down, received no-response]
Nmap scan report for 192.168.29.204 [host down, received no-response]
Nmap scan report for 192.168.29.205 [host down, received no-response]
Nmap scan report for 192.168.29.206 [host down, received no-response]
Nmap scan report for 192.168.29.208 [host down, received no-response]
Nmap scan report for 192.168.29.209 [host down, received no-response]
Nmap scan report for 192.168.29.210 [host down, received no-response]
Nmap scan report for 192.168.29.211 [host down, received no-response]
Nmap scan report for 192.168.29.212 [host down, received no-response]
Nmap scan report for 192.168.29.213 [host down, received no-response]
Nmap scan report for 192.168.29.214 [host down, received no-response]
Nmap scan report for 192.168.29.215 [host down, received no-response]
Nmap scan report for 192.168.29.216 [host down, received no-response]
Nmap scan report for 192.168.29.217 [host down, received no-response]
Nmap scan report for 192.168.29.218 [host down, received no-response]
Nmap scan report for 192.168.29.219 [host down, received no-response]
Nmap scan report for 192.168.29.220 [host down, received no-response]
Nmap scan report for 192.168.29.221 [host down, received no-response]
Nmap scan report for 192.168.29.222 [host down, received no-response]
Nmap scan report for 192.168.29.223 [host down, received no-response]
Nmap scan report for 192.168.29.224 [host down, received no-response]
Nmap scan report for 192.168.29.225 [host down, received no-response]
Nmap scan report for 192.168.29.226 [host down, received no-response]
Nmap scan report for 192.168.29.227 [host down, received no-response]
Nmap scan report for 192.168.29.228 [host down, received no-response]
Nmap scan report for 192.168.29.229 [host down, received no-response]
Nmap scan report for 192.168.29.230 [host down, received no-response]
Nmap scan report for 192.168.29.231 [host down, received no-response]
Nmap scan report for 192.168.29.232 [host down, received no-response]
Nmap scan report for 192.168.29.233 [host down, received no-response]
Nmap scan report for 192.168.29.234 [host down, received no-response]
Nmap scan report for 192.168.29.235 [host down, received no-response]
Nmap scan report for 192.168.29.236 [host down, received no-response]
Nmap scan report for 192.168.29.237 [host down, received no-response]
Nmap scan report for 192.168.29.238 [host down, received no-response]
Nmap scan report for 192.168.29.239 [host down, received no-response]
Nmap scan report for 192.168.29.240 [host down, received no-response]
Nmap scan report for 192.168.29.241 [host down, received no-response]
Nmap scan report for 192.168.29.242 [host down, received no-response]
Nmap scan report for 192.168.29.243 [host down, received no-response]
Nmap scan report for 192.168.29.244 [host down, received no-response]
Nmap scan report for 192.168.29.245 [host down, received no-response]
Nmap scan report for 192.168.29.246 [host down, received no-response]
Nmap scan report for 192.168.29.247 [host down, received no-response]
Nmap scan report for 192.168.29.248 [host down, received no-response]
Nmap scan report for 192.168.29.249 [host down, received no-response]
Nmap scan report for 192.168.29.250 [host down, received no-response]
Nmap scan report for 192.168.29.251 [host down, received no-response]
Nmap scan report for 192.168.29.252 [host down, received no-response]
Nmap scan report for 192.168.29.253 [host down, received no-response]
Nmap scan report for 192.168.29.254 [host down, received no-response]
Nmap scan report for 192.168.29.255 [host down, received no-response]
Nmap scan report for reliance.reliance (192.168.29.1)
Host is up, received arp-response (0.012s latency).
Scanned at 2026-04-09 11:21:47 EDT for 25s
Not shown: 990 filtered tcp ports (no-response)
PORT     STATE  SERVICE        REASON
22/tcp   closed ssh            reset ttl 64
53/tcp   open   domain         syn-ack ttl 64
80/tcp   open   http           syn-ack ttl 64
443/tcp  open   https          syn-ack ttl 64
1900/tcp open   upnp           syn-ack ttl 64
2869/tcp closed icslap         reset ttl 64
7443/tcp open   oracleas-https syn-ack ttl 64
8080/tcp open   http-proxy     syn-ack ttl 64
8200/tcp closed trivnet1       reset ttl 64
8443/tcp open   https-alt      syn-ack ttl 64
MAC Address: 70:97:41:DA:FB:B4 (Arcadyan)

Nmap scan report for 192.168.29.189
Host is up, received arp-response (0.0075s latency).
Scanned at 2026-04-09 11:21:47 EDT for 3s
All 1000 scanned ports on 192.168.29.189 are in ignored states.
Not shown: 1000 closed tcp ports (reset)
MAC Address: D8:32:E3:43:18:83 (Xiaomi Communications)

Nmap scan report for 192.168.29.191
Host is up, received arp-response (0.00043s latency).
Scanned at 2026-04-09 11:21:47 EDT for 26s
All 1000 scanned ports on 192.168.29.191 are in ignored states.
Not shown: 1000 filtered tcp ports (no-response)
MAC Address: C0:35:32:0C:E4:05 (Liteon Technology)

Nmap scan report for 192.168.29.207
Host is up, received arp-response (0.17s latency).
Scanned at 2026-04-09 11:21:47 EDT for 10s
Not shown: 999 closed tcp ports (reset)
PORT     STATE    SERVICE REASON
5060/tcp filtered sip     no-response
MAC Address: 9E:62:61:3C:ED:08 (Unknown)

Nmap scan report for 192.168.29.55
Host is up, received localhost-response (0.000010s latency).
Scanned at 2026-04-09 11:22:14 EDT for 0s
All 1000 scanned ports on 192.168.29.55 are in ignored states.
Not shown: 1000 closed tcp ports (reset)

Read data files from: /usr/share/nmap
# Nmap done at Thu Apr  9 11:22:14 2026 -- 256 IP addresses (5 hosts up) scanned in 29.39 seconds
                                                                                                                                                             
┌──(root㉿kali)-[~]
└─# 
